superset,tokens
0,"[3275, 397, 1108, 29920, 29963, 29914, 325, 8096, 1705, 1688, 3956, 4100, 1006, 9683, 25855, 4321, 5312, 1884, 18070, 4504, 4885, 4858, 11033, 16254, 1474]"
1,"[29915, 324, 9101, 4671, 2688, 1007, 1885, 7255, 5164, 1475, 9672, 26933, 16103, 1704, 4942, 19519, 8608, 4768, 8818, 4920, 1507, 23584, 11206, 14172, 5313, 3448, 833, 28563]"
2,"[393, 13396, 777, 2381, 8327, 4697, 2562, 1184, 25300, 2638, 1623, 1302, 16294, 1228, 1025, 2159, 5692, 10917, 17644, 6834, 17970, 4104]"
3,"[22898, 9316, 826, 8072, 568, 3900, 8130, 1127, 3068, 4392, 10916, 5786, 1489, 1334, 392, 3447, 4543, 17506, 24972, 1148, 1303, 19737, 4148, 14603, 4105, 1525, 2572, 1024, 8326]"
4,"[29899, 375, 2129, 29893, 29947, 2631, 1451, 808, 8068, 446, 5459, 8214, 8716, 645, 3953, 4114, 6972, 11095, 3767, 4600, 6662, 14328, 6345, 914, 2038, 23553, 2736, 17344, 2107, 1760, 3660, 6523]"
5,"[29892, 23900, 29898, 663, 29946, 29098, 5337, 1450, 14662, 716, 1426, 17905, 915, 2630, 2039, 374, 8717, 7901, 20676, 15329, 15444, 15775, 6973, 14278, 2106, 6635, 3661, 1357, 10097, 8542, 21180, 17873, 27496, 503]"
6,"[2264, 681, 298, 2904, 15201, 4430, 1165, 1288, 2175, 1020, 6133, 5881, 922, 790, 1374, 5739, 5666, 14995, 9418, 22914, 7546, 1590, 29979, 18150, 1944]"
7,"[2265, 299, 791, 17223, 1259, 1375, 1829, 5450, 12474, 23190, 770, 3829, 1821, 2174, 5667, 2258, 680, 1021, 4646, 29311, 20436, 1289, 1945]"
8,"[2998, 291, 9677, 13030, 2167, 3035, 10700, 27231, 4403, 23904, 4251, 5161, 5282, 26536, 9712, 10331, 3665, 830, 6003, 9819]"
9,"[12045, 290, 8236, 13793, 417, 11561, 2999, 4250, 15664, 2502, 831, 1383, 2750, 18161, 3698]"
10,"[884, 482, 11315, 666, 4639, 1846, 1320, 2049, 18541, 517, 3436, 5405, 4654, 12184, 16498, 25395, 11597, 5589, 13453]"
11,"[2454, 1321, 2278, 885, 1847, 2609, 4655, 4737, 2083, 11619, 24446, 5404, 3222, 2247, 2101, 8353, 11840, 17070]"
12,"[1546, 14656, 3700, 1188, 20501, 11583, 1579, 6005, 26221, 22593, 21099, 6271, 12623, 10088, 4513, 5177, 5731, 4406, 3095, 3913, 1297, 19645]"
13,"[14502, 10977, 24479, 1766, 4955, 3921, 3333, 1063, 26803, 1532, 4161, 7256, 21302, 4766, 722, 20710, 1547, 11412, 4512, 6270, 6233, 1296, 3841]"
14,"[8713, 330, 28984, 530, 11279, 1338, 454, 15656, 18755, 2794, 3869, 9505, 28118, 4964, 9633, 1264, 1915, 900, 24536, 4749, 9924, 670, 23407]"
15,"[901, 1560, 671, 331, 3868, 3164, 455, 4244, 2795, 5297, 1307, 954, 9461, 1914, 11405, 16646, 2330, 1339, 9026, 4979, 5708, 9003, 23283, 10083, 7520]"
16,"[29906, 2873, 29878, 3160, 4049, 14886, 2343, 18750, 336, 14338, 29884, 1466, 1516, 2498, 1179, 5819, 11077, 10144, 5019, 3813, 16888, 1749, 9234, 1772, 5112, 14757, 3145, 9207, 15971, 8931]"
17,"[29879, 29907, 337, 29885, 15366, 3144, 2499, 7705, 13244, 14914, 1467, 1773, 2326, 26453, 20417, 5779, 3847, 13475, 1178, 28962, 17434, 4186, 11662, 26671]"
18,"[342, 427, 3712, 1009, 1994, 14011, 946, 6567, 18254, 7915, 861, 1570, 23633, 2484, 10051, 13242, 1536, 2261, 1389, 21577, 6393, 2928, 3800, 4204]"
19,"[3801, 947, 8918, 3307, 24646, 6288, 931, 11176, 10050, 860, 5628, 2485, 7774, 1976, 5707, 1571, 3367, 1486, 13574, 3271, 12286, 10095, 4069, 17818, 20328, 8293, 13997, 4205]"
20,"[322, 573, 410, 315, 1540, 5761, 2785, 346, 756, 1037, 23131, 2440, 16381, 24434, 12667, 4502, 20805, 4111, 21954, 11643, 7136, 16816]"
21,"[411, 323, 314, 10636, 572, 19388, 3381, 4796, 845, 5987, 347, 12580, 1036, 5032, 6360, 1541, 22357, 5893, 7137, 2784, 3158, 11994, 22233, 20751, 5144, 11874, 17186]"
22,"[4414, 383, 357, 2654, 640, 4003, 3944, 22887, 412, 12003, 23766, 582, 842, 6098, 7024, 12042, 3967, 1900, 1458, 14153, 12799, 10265, 2021, 5290, 10231, 773, 13206, 15695]"
23,"[910, 583, 1459, 3173, 382, 19163, 6987, 10163, 10152, 1105, 6761, 24858, 3787, 17667, 4818, 14227, 29327, 19915, 356, 1052, 5550, 413, 4803, 4375, 2413, 12891, 28396, 8408]"
24,"[278, 294, 619, 264, 6728, 1530, 18873, 17206, 8927, 13432, 1889, 715, 1463, 593, 8198, 21762, 9059, 2632, 18322, 22473, 11133, 8866, 4612, 6055, 11639, 3287]"
25,"[295, 714, 17778, 279, 596, 11509, 265, 15118, 6906, 10503, 4613, 22502, 985, 6656, 2908, 1531, 9940, 18066, 12521, 618, 28666, 18872, 1462, 6729, 26679, 26771, 592, 4018, 29363, 3286]"
26,"[367, 7492, 369, 936, 26252, 5625, 468, 497, 5252, 586, 1438, 2770, 4080, 3370, 3301, 751, 10178, 14710, 1858, 1117, 16931, 6471, 15538, 4274, 5086, 5659, 3615, 7316, 1997]"
27,"[366, 29933, 19138, 368, 496, 3041, 1238, 1080, 9200, 750, 937, 4357, 1367, 5253, 5938, 7493, 5194, 8415, 5232, 1996, 12212, 15092, 1859, 6679, 4275, 4657]"
28,"[1134, 29909, 303, 5982, 2861, 3321, 609, 5826, 14409, 3571, 4316, 1066, 2043, 9815, 9177, 8135, 1711, 11904, 2199, 2866, 9929, 881, 8910, 6631]"
29,"[13, 26397, 5849, 302, 15724, 1135, 608, 24092, 9089, 1067, 21219, 2867, 29908, 13938, 4650, 880, 6575, 2198, 3204, 25962, 4023, 11831, 19932, 9928, 8560, 22406, 17655, 9033, 14549, 23757, 763, 21114]"
30,"[261, 27400, 625, 1121, 12636, 1174, 29990, 5680, 9160, 12463, 21780, 1954, 2203, 2829, 870, 23149, 21558, 2189, 8950, 1988, 737, 4702, 1283, 25413, 3773, 10920, 26361, 8316, 2183]"
31,"[260, 1655, 624, 988, 7738, 1120, 2761, 639, 871, 3907, 2898, 5592, 2556, 23693, 18178, 3462, 4981, 1397, 1175, 2182, 16566]"
32,"[29871, 2098, 896, 1218, 5031, 5528, 1667, 29929, 22005, 7614, 26078, 12246, 12252, 982, 14556, 20789, 24370, 1492, 14525, 21305, 7273, 29857, 8547, 4383]"
33,"[5557, 29928, 9045, 29950, 5795, 550, 1619, 4094, 1661, 897, 1219, 25101, 5837, 983, 14055, 20492, 1493, 29984, 7498, 29080, 1771, 20193, 7437, 18272, 24125, 6023, 1666, 6446, 2242, 2273, 2253]"
34,"[6788, 5866, 2220, 4665, 465, 1017, 1730, 4561, 577, 6935, 22049, 18989, 1407, 2211, 1670, 5996, 2553, 1002, 20060, 18830]"
35,"[20986, 1974, 13874, 1783, 13457, 3226, 1960, 1414, 4704, 3421, 2482, 8688, 2221, 1629, 21823, 3864, 27170, 25088, 5517, 1632]"
36,"[6602, 29874, 521, 1316, 505, 20908, 18853, 3297, 2713, 854, 1840, 14263, 960, 5902, 734, 7307, 17770, 25391, 1744, 16397, 1136, 26056, 6718]"
37,"[29875, 3859, 10676, 9368, 2922, 1317, 520, 855, 25715, 9238, 7805, 1745, 7197, 3509, 24526, 2994, 13173, 589, 735, 5399, 7527, 14422, 8668, 2712]"
38,"[1724, 838, 686, 1144, 711, 4072, 8679, 1559, 10298, 29967, 388, 3523, 1934, 4124, 10582, 25287, 20893, 1102, 3896, 10032, 20021, 13427, 27044, 4060, 557, 14751, 16706]"
39,"[9946, 4125, 8489, 1725, 23547, 1476, 1983, 389, 687, 1145, 1657, 7287, 15301, 1245, 7486, 10644, 3217, 839, 8678, 21475, 997, 16129, 1558, 14851, 12789, 2518, 20892, 4312]"
40,"[29891, 362, 3246, 547, 22576, 799, 1789, 560, 4326, 1169, 21166, 10859, 20140, 4170, 1717, 10884, 9851, 2594, 554, 690, 8263, 1232, 2461]"
41,"[363, 1788, 561, 6297, 555, 29890, 798, 29380, 1716, 29953, 25639, 11098, 8405, 4626, 431, 20336, 7601, 3623, 2543, 3291, 14325, 8449, 9897, 546, 17726, 10557, 25257, 5156, 5790, 9850, 11584, 2233, 18170, 3247]"
42,"[310, 26823, 29882, 1049, 7799, 3097, 10899, 7415, 4511, 27489, 16767, 2729, 26607, 11625, 7067, 12545, 12840, 21203, 18285, 13725, 9704, 21620, 4421, 20841]"
43,"[916, 1048, 17168, 2841, 7143, 19863, 29883, 706, 10946, 311, 4972, 19141, 2919, 21155, 1754, 6811, 8467, 12841, 6286, 1964, 1550, 6434, 6199]"
44,"[4195, 317, 12959, 472, 630, 4280, 820, 15574, 786, 3631, 2184, 24301, 1032, 7515, 348, 694, 28746, 16415, 18556, 5060, 26999, 13382, 3837, 13590, 13342]"
45,"[10778, 349, 316, 2878, 787, 695, 29765, 4688, 3210, 10734, 12906, 18109, 631, 1927, 15860, 3951, 11124, 27280, 473, 16241, 16719, 17151]"
46,"[8581, 451, 459, 650, 29941, 15336, 5076, 4848, 26807, 13544, 511, 8792, 5958, 9694, 21264, 4574, 18473, 6047, 13200, 4045, 3109, 18953, 27375, 1056, 8903, 801]"
47,"[29973, 450, 800, 510, 29940, 2684, 9128, 487, 1810, 10103, 20811, 19817, 1394, 615, 23600, 1112, 13201, 2151, 15748, 23116, 2927, 1968, 10901, 5796, 12112, 17564, 2467, 13004, 731, 3372, 3500]"
48,"[4871, 13879, 1880, 305, 274, 964, 1250, 5391, 11220, 2509, 7688, 12815, 7077, 3182, 23346, 7597, 635, 1582, 16614, 27117, 1040, 11451, 10212, 18733, 3929, 7029, 20725, 1312, 2126, 24221, 1163, 6048, 2669]"
49,"[304, 275, 19046, 7910, 6958, 7037, 8139, 16835, 2416, 1162, 5220, 13979, 2522, 2127, 29030, 10800, 27908, 3564, 10157, 18192, 12903, 3626, 1251, 1583, 22097, 12968]"
50,"[438, 6614, 285, 23503, 1455, 12060, 4116, 4760, 10868, 7916, 1076, 22318, 17583, 4805, 3792, 6463, 2354, 1363, 26552]"
